Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1052202   11.148    0.000   17.584    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/rmm/rmm.py:198(rmm_cupy_allocator)
     4824    9.674    0.002   61.536    0.013 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:268(likeli_fun0)
    15236    8.073    0.001   19.462    0.001 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:148(T_omega)
     3808    4.508    0.001   41.365    0.011 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:186(value_function)
    22854    4.326    0.000    7.670    0.000 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:141(normal_pdf)
     1904    3.197    0.002   51.567    0.027 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:227(likeli_fun)
    15236    2.849    0.000    3.463    0.000 {built-in method cupy._core._routines_linalg.tensordot_core}
    17136    2.415    0.000    4.344    0.000 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:144(expcdf)
  1052269    1.962    0.000    4.384    0.000 cuda/cudart.pyx:8827(cudaGetDevice)
        1    1.750    1.750    1.751    1.751 {cudf._lib.csv.read_csv}
  1052269    1.534    0.000    5.918    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/rmm/_cuda/gpu.py:53(getDevice)
      643    1.492    0.002    1.498    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/ensemble.py:495(<listcomp>)
  1057011    1.444    0.000    2.441    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/enum.py:358(__call__)
379998/377939    1.301    0.000    1.433    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    1.187    0.594    1.187    0.594 {method 'poll' of 'select.poll' objects}
  408/405    1.029    0.003    1.037    0.003 {built-in method _imp.create_dynamic}
